@relation mainnew-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute 769.948669 numeric
@attribute 2982.984131 numeric
@attribute Cluster {cluster0,cluster1}

@data
164,6584.651855,4098.305664,cluster1
165,6784.880859,4063.382324,cluster1
166,6854.452148,3438.10376,cluster1
167,6581.258301,3717.863037,cluster1
168,6569.804199,3953.410645,cluster1
169,6602.044922,3721.578125,cluster1
170,6554.957031,4123.198242,cluster1
171,6491.324707,3695.199951,cluster1
172,6829.847656,3419.898926,cluster1
173,6569.804199,3975.702148,cluster1
174,6564.713867,3679.967285,cluster1
175,6727.187988,4068.955322,cluster1
176,6840.453125,3500.148682,cluster1
177,6919.356934,4003.56665,cluster1
178,6569.804199,4016.94165,cluster1
179,6806.939941,3384.232422,cluster1
180,6699.189941,4070.812988,cluster1
181,6469.689941,3734.581543,cluster1
182,6455.690918,3661.019531,cluster1
183,6288.126465,3746.842041,cluster1
184,6804.818848,3374.944336,cluster1
185,6448.055176,3653.588867,cluster1
186,6456.115234,3727.522705,cluster1
187,6460.357422,3750.928711,cluster1
188,6626.648926,4099.048828,cluster1
189,6985.958496,3325.53125,cluster1
190,6798.879883,3353.395752,cluster1
191,6445.934082,3745.355957,cluster1
192,6988.928223,3320.329834,cluster1
193,7062.316895,3461.881348,cluster1
194,6480.719238,3975.702148,cluster1
195,6984.261719,3969.38623,cluster1
196,6453.569824,4183.013672,cluster1
197,6996.988281,3951.552979,cluster1
198,6850.209961,3338.534668,cluster1
199,6377.635254,3691.484619,cluster1
200,7645.611328,1801.53064,cluster1
201,6515.081055,3608.634277,cluster1
202,6717.431152,3386.090088,cluster1
203,6428.541016,4198.246582,cluster1
204,6770.033691,3290.60791,cluster1
205,6424.723145,4200.475586,cluster1
206,6481.143555,4206.419922,cluster1
207,7032.197754,3257.541992,cluster1
208,6376.787109,3584.485107,cluster1
209,6340.304688,3702.258789,cluster1
210,6842.149902,3295.437744,cluster1
211,6504.899902,4223.138672,cluster1
212,6333.51709,3697.057617,cluster1
213,6764.094727,3254.569824,cluster1
214,6946.08252,3215.55957,cluster1
215,6920.205078,3319.215332,cluster1
216,6416.23877,3562.193604,cluster1
217,7024.137695,3869.445801,cluster1
218,6397.997559,4142.517578,cluster1
219,6570.228516,3567.394775,cluster1
220,6928.265625,3314.013916,cluster1
221,6307.640137,3675.509033,cluster1
222,6328.002441,3612.349609,cluster1
223,6526.110352,4251.374512,cluster1
224,6934.20459,3331.847168,cluster1
225,6844.270996,3246.767822,cluster1
226,7197.641602,3475.256348,cluster1
227,6661.43457,3446.277344,cluster1
228,6390.361816,4125.798828,cluster1
229,7032.197754,3187.695068,cluster1
230,6944.80957,3321.072998,cluster1
231,6290.671387,3724.921875,cluster1
232,6536.71582,4267.72168,cluster1
233,6541.382324,4267.72168,cluster1
234,6308.488281,3626.839111,cluster1
235,6011.538574,3562.564941,cluster1
236,5826.581055,3465.968262,cluster1
237,5488.906738,3344.107666,cluster1
238,5426.123047,3330.732666,cluster1
239,5437.57666,3446.648926,cluster1
240,5480.422363,3461.138428,cluster1
241,5577.143555,3147.94165,cluster1
242,5384.974121,3533.214355,cluster1
243,5328.129883,3427.700928,cluster1
244,5558.478027,3468.568848,cluster1
245,5572.901367,3470.054932,cluster1
246,5333.644531,3508.322266,cluster1
247,5353.158203,3585.971191,cluster1
248,5265.77002,3417.29834,cluster1
249,5531.328125,3537.672852,cluster1
250,5312.009277,3547.703857,cluster1
251,5352.733887,3337.048584,cluster1
252,5622.958496,3049.858887,cluster1
253,5466.42334,3127.507812,cluster1
254,5523.692383,3558.106689,cluster1
255,5692.105469,3182.493652,cluster1
256,5458.787598,3126.021729,cluster1
257,5247.10498,3465.225098,cluster1
258,5453.697266,3124.907227,cluster1
259,5501.633301,3530.61377,cluster1
260,5307.343262,3657.304199,cluster1
261,5555.932617,3565.537109,cluster1
262,5227.166504,3486.030518,cluster1
263,5560.599121,3567.023438,cluster1
264,5710.34668,3136.795898,cluster1
265,5458.787598,3526.898438,cluster1
266,5244.983887,3513.1521,cluster1
267,5584.779297,3569.995605,cluster1
268,5291.223145,3696.686035,cluster1
269,5091.842285,3228.191406,cluster1
270,5601.747559,3572.596191,cluster1
271,5572.477051,3519.468018,cluster1
272,5286.556641,3707.831787,cluster1
273,5238.196289,3287.635498,cluster1
274,5613.20166,3572.224609,cluster1
275,5180.079102,3526.155518,cluster1
276,5479.998535,3645.415283,cluster1
277,5359.521484,3110.789062,cluster1
278,5597.081543,3523.18335,cluster1
279,5509.269043,3021.251221,cluster1
280,5276.799805,3733.095459,cluster1
281,5639.927246,3571.110107,cluster1
282,5770.160645,3499.033936,cluster1
283,5467.696289,3670.679199,cluster1
284,5153.777832,3545.103271,cluster1
285,5619.564941,3533.95752,cluster1
286,5639.927246,3535.815186,cluster1
287,5310.3125,3103.358643,cluster1
288,5211.89502,3707.831787,cluster1
289,5264.921875,3779.907959,cluster1
290,5130.021484,3520.210938,cluster1
291,5714.588867,2898.276123,cluster1
292,5819.369629,3506.093018,cluster1
293,5096.933105,3399.836426,cluster1
294,5514.783691,3690.741455,cluster1
295,5385.398438,3039.456055,cluster1
296,5447.757812,3720.463623,cluster1
297,5386.671387,3290.979248,cluster1
298,5832.52002,3520.210938,cluster1
299,5570.355957,3650.988281,cluster1
300,5835.914062,3516.867188,cluster1
301,5194.501953,3677.738037,cluster1
302,5453.697266,3733.095459,cluster1
303,5073.601074,3386.090088,cluster1
304,5098.629883,3500.891602,cluster1
305,5730.284668,2866.696289,cluster1
306,5724.77002,3572.596191,cluster1
307,5254.740723,3095.556641,cluster1
308,4978.152832,3289.121826,cluster1
309,5356.12793,3289.121826,cluster1
310,5348.491699,3033.883301,cluster1
311,5555.932617,3690.741455,cluster1
312,5057.480957,3365.284668,cluster1
313,5745.556152,3579.655273,cluster1
314,5484.664551,3742.012207,cluster1
315,5074.874023,3487.145264,cluster1
316,5234.378418,3092.584229,cluster1
317,5171.594727,3640.214111,cluster1
318,5797.310547,3556.992188,cluster1
319,5404.488281,2980.754883,cluster1
320,5166.928223,3633.897949,cluster1
321,5164.807129,3630.554199,cluster1
322,5767.191406,3588.571777,cluster1
323,5057.905273,3503.12085,cluster1
324,5358.672852,2996.359131,cluster1
325,5239.893066,3879.476807,cluster1
326,5650.108398,3652.845947,cluster1
327,5760.828125,2807.252197,cluster1
328,5894.455566,3577.426025,cluster1
329,5041.36084,3520.58252,cluster1
330,5521.571289,3782.508545,cluster1
331,5213.591797,3156.115234,cluster1
332,5032.452148,3484.544434,cluster1
333,5809.188477,2891.217041,cluster1
334,5651.805176,2834.373535,cluster1
335,5670.894531,3656.561035,cluster1
336,5389.640625,3828.206299,cluster1
337,5373.096191,2960.321045,cluster1
338,5230.984375,3915.514893,cluster1
339,5092.690918,3536.929688,cluster1
340,5913.121094,3437.732178,cluster1
341,5017.60498,3533.95752,cluster1
342,5436.728516,2924.282959,cluster1
343,5096.508789,3534.329102,cluster1
344,5008.271973,3653.217529,cluster1
345,5289.102051,3890.251221,cluster1
346,5689.560059,3669.193115,cluster1
347,5923.726074,3429.187012,cluster1
348,4999.36377,3472.28418,cluster1
